pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature
7.74,349,0,25,1,175,34,22,10,206,24.02391604
7.53,660,0,82,5,250,52,29,51,381,20.73833046
7.5,270,0,35,1,125,4,28,10,151,24.11731011
7.6,311,0,39,2,135,26,17,15,198,22.64455156
7.82,2501,0,560,56,465,56,79,336,1424,22.81250018
7.71,264,0,35,1,130,26,16,15,188,22.37500667
7.79,535,0,28,1,245,38,36,19,321,22.12097461
7.78,440,0,39,1,190,36,24,22,264,23.2575249
7.92,592,0,35,1,265,34,44,15,325,22.87896059
7.78,456,0,21,5,205,38,27,14,251,22.47583657
7.78,531,0,25,2,245,36,38,14,314,21.49298832
7.29,506,0,32,0,215,32,33,14,280,21.31813165
7.75,431,0,25,1,195,20,35,18,234,20.21703667
7.22,147,0,25,0,50,16,2,9,84,24.91000332
7.83,548,0,28,1,200,26,33,35,303,22.93784066
7.59,253,0,28,1,110,22,13,11,153,20.09930208
7.9,626,0,28,1,240,26,43,48,356,24.0229244
7.7,349,0,25,1,150,22,23,16,206,21.94580033
7.38,186,0,21,0,80,22,6,9,117,21.5173435
7.61,579,0,60,6,195,36,26,50,338,21.77036508
7.38,387,0,21,2,115,32,9,44,231,24.34236931
7.31,278,0,21,1,145,14,27,9,185,24.21843326
7.54,475,0,35,11,190,38,23,32,292,20.4367951
7.29,360,0,21,38,120,28,12,32,221,21.46634916
7.55,844,0,28,86,355,56,52,42,475,24.65933755
7.69,366,0,18,2,175,36,21,14,227,21.15285726
7.77,378,0,25,1,195,42,22,11,237,21.86850476
7.45,412,0,35,3,140,28,17,24,230,20.04040168
7.52,273,0,25,2,120,28,12,12,172,23.55038508
7.14,533,0,25,5,255,74,17,7,317,21.18237339
7.34,878,0,32,2,280,40,44,55,497,20.19408756
7.77,878,0,53,8,245,48,30,75,504,24.60965529
7.6,260,0,18,8,135,18,22,9,165,21.99910799
7.79,858,0,50,6,110,16,17,154,527,24.51298772
7.25,557,0,35,3,245,44,33,21,338,20.03579068
7.46,746,0,43,11,300,64,34,40,446,21.3802683
7.71,1020,0,74,4,330,54,47,50,543,24.23954526
7.59,953,0,78,24,295,44,45,60,511,22.25969372
7.53,466,0,53,19,210,48,22,12,290,23.18687084
7.67,348,0,21,2,160,26,23,11,225,20.28084641
7.87,448,0,18,25,190,38,23,17,287,20.89205492
