STATE,DISTRICT,BLOCK,LOCATION,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature,St Temp,St Ph,St Ec,St CO3,St CL,St SO4,St TH,St CA,St Mg,St Na,St TDS,WQI
A&N Islands,South Andaman,PORT BLAIR,Kodiaghat,11.545,92.74583,2021,7.74,349,0,25,1,175,34,22,10,206,29.7692724,25,8.5,300,250,250,250,500,75,30,200,500,45.00094754
A&N Islands,South Andaman,PORT BLAIR,Sippighat,11.6025,92.73,2021,7.53,660,0,82,5,250,52,29,51,381,29.24431973,25,8.5,300,250,250,250,500,75,30,200,500,65.89187384
A&N Islands,South Andaman,PORT BLAIR,Brichganj,11.62083,92.73028,2021,7.5,270,0,35,1,125,4,28,10,151,30.05219702,25,8.5,300,250,250,250,500,75,30,200,500,37.89170801
A&N Islands,South Andaman,FERRARGUNJ,Wimberleyganj,11.7325,92.70861,2021,7.6,311,0,39,2,135,26,17,15,198,29.03397983,25,8.5,300,250,250,250,500,75,30,200,500,40.14871994
A&N Islands,South Andaman,FERRARGUNJ,Ograbraj,11.66361,92.65806,2021,7.82,2501,0,560,56,465,56,79,336,1424,28.40992744,25,8.5,300,250,250,250,500,75,30,200,500,193.833913
A&N Islands,South Andaman,PORT BLAIR,Burmanala,11.55778,92.72917,2021,7.71,264,0,35,1,130,26,16,15,188,31.96339057,25,8.5,300,250,250,250,500,75,30,200,500,39.69880869
A&N Islands,South Andaman,PORT BLAIR,Calicut,11.6075,92.72556,2021,7.79,535,0,28,1,245,38,36,19,321,23.22160155,25,8.5,300,250,250,250,500,75,30,200,500,57.16846117
A&N Islands,South Andaman,FERRARGUNJ,Saitankhari,11.71167,92.67111,2021,7.78,440,0,39,1,190,36,24,22,264,29.86280338,25,8.5,300,250,250,250,500,75,30,200,500,51.26526184
A&N Islands,N&M Andaman,MAYABUNDER,Rangat,12.50611,92.90861,2021,7.92,592,0,35,1,265,34,44,15,325,30.29605066,25,8.5,300,250,250,250,500,75,30,200,500,64.70462448
A&N Islands,N&M Andaman,MAYABUNDER,Bakultala,12.50417,92.85833,2021,7.78,456,0,21,5,205,38,27,14,251,20.29562848,25,8.5,300,250,250,250,500,75,30,200,500,48.58628914
A&N Islands,N&M Andaman,MAYABUNDER,Nimbutala,12.49444,92.95417,2021,7.78,531,0,25,2,245,36,38,14,314,26.15034865,25,8.5,300,250,250,250,500,75,30,200,500,57.98800557
A&N Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,12.60667,92.94917,2021,7.29,506,0,32,0,215,32,33,14,280,33.09849847,25,8.5,300,250,250,250,500,75,30,200,500,53.8055146
A&N Islands,N&M Andaman,MAYABUNDER,Rest Camp,12.83278,92.85917,2021,7.75,431,0,25,1,195,20,35,18,234,24.28634113,25,8.5,300,250,250,250,500,75,30,200,500,49.03139677
A&N Islands,South Andaman,PORT BLAIR,Gupta Para,11.55972,92.65861,2021,7.22,147,0,25,0,50,16,2,9,84,26.05611981,25,8.5,300,250,250,250,500,75,30,200,500,21.56283145
A&N Islands,N&M Andaman,RONGET,Baratang (Nilambur),12.16833,92.76694,2021,7.83,548,0,28,1,200,26,33,35,303,27.40559858,25,8.5,300,250,250,250,500,75,30,200,500,56.54446009
A&N Islands,N&M Andaman,RONGET,Uttara,12.16139,92.79,2021,7.59,253,0,28,1,110,22,13,11,153,30.76344348,25,8.5,300,250,250,250,500,75,30,200,500,35.3715552
